Nama,Latitude,Longitude
Desa Panulisan Barat,-7.302995,108.573576
Desa Dayeluhur,-7.173785,108.392153
Desa Bingkeng,-7.236414,108.592881
Desa Cilongkrang,-7.408769,108.715668
Desa Purwasari,-7.384291,108.870808
Desa Tarisi,-7.392666,108.694566
Desa Adimulya,-7.334996,108.689403
Desa Madura,-7.331412,108.644776
Desa Wanareja,-7.333816,108.687107
Desa Sidamulya,-7.488885,108.804955
Desa Bantar,-7.352453,108.721116
Desa Pahonjean,-7.324304,108.740084
Desa Cilopadang,-7.303708,108.790659
Desa Sindangsari,-7.300775,108.767969
Desa Mulyadadi,-7.317188,108.775789
Desa Bener,-7.269907,108.759242
Desa Boja,-7.211251,108.945039
Desa Padangjaya,-7.312664,108.785827
Desa Mulyasari,-7.314002,108.773874
Desa Panimbang,-7.366119,108.868323
Desa Bantarmangu,-7.332414,108.894194
Desa Cimanggu,-7.350939,108.839493
Desa Bantarpanjang,-7.360889,108.856803
Desa Cilempuyang,-7.342686,108.834565
Desa Cibalung,-7.320885,108.879411
Desa Karangreja,-7.353303,108.797002
Desa Rejodadi,-7.325671,108.798297
Desa Mandala,-7.357041,108.888654
Desa Pengaweran,-7.382458,108.877978
Desa Karangpucung,-7.410750,108.906193
Desa Patimuan,-7.584914,108.761310
Desa Sidamukti,-7.609299,108.754052
Desa Purwodadi,-7.600747,108.762061
Desa Bulupayung,-7.579950,108.785915
Desa Cimrutu,-7.619538,108.802522
Desa Tambakreja,-7.538916,108.782982
Desa Bumireja,-7.536534,108.806366
Desa Ciklapa,-7.506692,108.810952
Desa Tambaksari,-7.440100,108.881896
Desa Kaliwungu,-7.548292,108.809980
Desa Jatisari,-7.514545,108.786467
Desa Caruy,-7.373138,108.812791
Desa Cisuru,-7.386920,108.701254
Desa Serang,-7.446416,108.788571
Desa Mulyadadi,-7.426113,108.790305
Desa Mekarsari,-7.400061,108.745623
Desa Kutasari,-7.392746,108.817824
Desa Sidasari,-7.384348,108.780690
Desa Tinggarjaya,-7.480452,108.766832
Desa Sidareja,-7.480474,108.795257
Desa Sidamulya,-7.488970,108.804965
Desa Tegalsari,-7.485648,108.774499
Desa Margasari,-7.469319,108.774928
Desa Gunungreja,-7.479295,108.786157
Desa Sudagaran,-7.491794,108.808189
Desa Gandrungmangu,-7.519169,108.863969
Desa Gandrungmanis,-7.524044,108.858140
Desa Cisumur,-7.528578,108.826473
Desa Binagun,-7.543184,108.922310
Desa Bantarsari,-7.538556,108.876306
Desa Rawajaya,-7.557334,108.892896
Desa Bulaksari,-7.523689,108.888506
Desa Grugu,-7.645244,108.912399
Desa Bringkeng,-7.635518,108.917016
Desa Ujungmanik,-7.644090,108.951428
Desa Bojong,-7.608174,108.926794
Desa Mentasan,-7.582610,108.958872
Desa Kalijeruk,-7.579115,108.936851
Desa Kawunganten,-7.591934,108.922070
Desa Kawunganten Lor,-7.584107,108.922413
Desa Babakan,-7.662470,108.933569
Desa Panikel,-7.631573,108.856721
Desa Ujunggagak,-7.665938,108.818228
Desa Klaces,-7.681075,108.848305
Desa Ujungalang,-7.700257,108.887835
Desa Cilibang,-7.578392,109.019556
Desa Brebeg,-7.626715,109.001461
Desa Karangkandri,-7.669839,109.085200
Desa Slarang,-7.659267,109.113899
Desa Kesugihan,-7.608235,109.119931
Desa Kalisabuk,-7.658024,109.099508
Desa Dondong,-7.618474,109.067465
Desa Ciwuni,-7.604209,109.083059
Desa Karangjengkol,-7.602037,109.091578
Desa Keleng,-7.595190,109.111505
Desa Pesanggrahan,-7.594099,109.115168
Desa Bulupayung,-7.596621,109.140066
Desa Kuripan Kidul,-7.658730,109.081864
Desa Jengrana,-7.639427,109.063432
Desa Kesugihan Kidul,-7.622590,109.121113
Desa Karangrena,-7.606723,109.133039
Desa Panisihan,-7.585351,109.158374
Desa Karangreja,-7.624115,109.147071
Desa Karangtengah,-7.553736,109.218149
Desa Sampang,-7.566318,109.201228
Desa Nusajati,-7.596982,109.200002
Desa Karangjati,-7.577440,109.241826
Desa Paberasan,-7.588874,109.231656
Desa Karangasem,-7.472167,109.475513
Desa Sikampuh,-7.623398,109.197936
Desa Gentasari,-7.601644,109.219899
Desa Kedawung,-7.617419,109.287715
Desa Mujur,-7.612107,109.253601
Desa Buntu,-7.589645,109.252029
Desa Mujur Lor,-7.599874,109.248844
Desa Banjareja,-7.686408,109.374383
Desa Kedungbenda,-7.667580,109.375326
Desa Klumprit,-7.661907,109.358740
Desa Purwodadi,-7.676727,109.348618
Desa Karangsembung,-7.679916,109.363203
Desa Nusawengkal,-7.669805,109.344630
Desa Nusawungu,-7.648797,109.345277
Desa Karangbenda,-7.672613,109.176723
Desa Wlahar,-7.667687,109.134210
Desa Penggalang,-7.653371,109.138309
Desa Adipala,-7.659838,109.156697
Desa Adireja Kulon,-7.660938,109.160140
Desa Adireja Wetan,-7.660906,109.165317
Desa Adiraja,-7.661459,109.164716
Desa Karang Sari,-7.637371,109.143197
Kelurahan Kutawaru,-7.697561,108.990425
Kelurahan Donan,-7.714149,109.001532
Kelurahan Sidanegara,-7.711614,109.019484
Kelurahan Gunungsimping,-7.707111,109.027039
Kelurahan Cilacap,-7.738098,109.014295
Kelurahan Tambakreja,-7.728396,109.004494
Kelurahan Tegalkamulyan,-7.721294,109.023384
