Nama,Latitude,Longitude
BPBD Kabupaten Cilacap,-7.734929,109.006075
SMP N 1 Cilacap,-7.7385152,109.0090731
Politeknik Negeri Cilacap,-7.717469,109.019929
RSUD Cilacap,-7.717244,109.015319
Akbid Graha Mandiri,-7.726977,109.015649
Asrama Putri Stikes Al-Irsyad,-7.711226,109.020901
SD Al-Irsyad 01,-7.727568,109.006065
Rusunawa,-7.726168476356958,109.02217430815188
AMN Cilacap,-7.70348513473806,109.0200979788938
RSI Fatimah,-7.6918671162059375,109.02519304668188
Badan Diklat Arsip dan Perpusd,-7.727627203086237,109.01468486968464
DPRD Kabupaten Cilacap,-7.727616327630367,109.00645188868124
SMP Pius Cilacap,-7.736077851996682,109.00963349428882
SMP Negeri 3 Cilacap,-7.728074,109.001426
SMP Purnama 1 Cilacap,-7.723779,109.017025
SMP Negeri 2 Cilacap,-7.723603,109.005587
Masjid Al-Jihad,-7.682287,109.048005
SMA Negeri 1 Cilacap,-7.713985,109.005431
RSU Santa Maria Cilacap,-7.7361689,109.0097301
Kantor Kelurahan Mertasinga,-7.6783886,109.0555327
Gedung Golkar,-7.723753,109.010784
SMA Sri Mukti Cilacap,-7.7083942,109.0220419
SMP Muhammadiyah 1,-7.7207021,109.0068647
SMP Muhammadiyah 2,-7.680848,109.0372534
SMP PGRI 1 Cilacap,-7.6861251,109.0478478
SMP Purnama 2 Cilacap,-7.7239469,109.0054492
SMP Negeri 8 Cilacap,-7.7281032,109.0109191
SMK YPE Cilacap,-7.726644,109.0153868
SMP Negeri 4 Cilacap,-7.713808,109.0220023
SMP Negeri 6 Cilacap,-7.7109866,109.0129106
SD Negeri Tegalreja 01,-7.714913,109.005655
SMA Al-Irsyad Cilacap,-7.7273491,109.0044836
SD Negeri Tegalreja 02,-7.6908329,109.0083077
Masjid Agung Darussalam,-7.7274776,109.0086778
Hotel 3 Intan,-7.7327872,108.9990032
Hotel Mutiara,-7.7090125,109.0192032
PMI Cilacap,-7.6806311,109.0504556
SMA Yos Sudarso,-7.7338135,109.0096785
Rumah Sakit Aprilia,-7.712523,109.01679
Balai Desa Panulisan Barat,-7.30311,108.573078
Balai Desa Panulisan,-7.307873,108.580217
Balai Desa Panulisan Timur,-7.30256,108.599943
Balai Desa Karangrena,-7.607614387,109.1286205
Balai Desa Maos Kidul,-7.607706169,109.1458109
Balai Desa Maos Lor,-7.593684279,109.1481188
Balai Desa Kalijaran,-7.610311337,109.1700748
Balai Desa Mernek,-7.612390119,109.1794118
Balai Desa Penisihan,-7.585280064,109.1576929
Balai Desa Glempang,-7.577773384,109.1672232
Balai Desa Paketingan,-7.583416243,109.1854239
Balai Desa Ketanggung,-7.602318578,109.1984939
Balai Desa Nusajati,-7.597090701,109.1991133
Balai Desa Paberasan,-7.588606145,109.2306704
Balai Desa Karangjati,-7.581200895,109.2224442
Balai Desa Sidasari,-7.576864044,109.201582
Balai Desa Karangasem,-7.569695039,109.208944
Balai Desa Sampang,-7.56620612,109.2003484
Balai Desa Karangtengah,-7.56453568,109.1887555
Balai Desa Brani,-7.558308463,109.1778585
Balai Desa Sikampuh,-7.623278803,109.1969554
Balai Desa Karangturi,-7.648888735,109.2215571
Balai Desa Ayamalas,-7.649014916,109.2415107
Balai Desa Karangmangu,-7.639729181,109.2483182
Balai Desa Pucung Kidul,-7.635810464,109.2713415
Balai Desa Mergawati,-7.642952981,109.282631
Balai Desa Pucung Lor,-7.586622826,109.1134249
Balai Desa Bajing,-7.627507087,109.2517692
Balai Desa Kroya,-7.63302274,109.2440086
Balai Desa Pekuncen,-7.629476772,109.2146663
Balai Desa Bajing Kulon,-7.626297792,109.2381706
Balai Desa Mujur,-7.612273016,109.2523055
Balai Desa Gentasari,-7.601690492,109.2195852
Balai Desa Mujur Lor,-7.599457594,109.2480218
Balai Desa Widarapayung Kulon,-7.685947302,109.2492646
Balai Desa Sidayu,-7.685295441,109.253435
Balai Desa Widarapayung Wetan,-7.687451868,109.2657139
Balai Desa Sidaurip,-7.548642749,108.8378654
Balai Desa Pagubugan Kulon,-7.69282908,109.3040652
Balai Desa Pagubugan,-7.690016834,109.3135334
Balai Desa Karangnangka,-7.664887272,109.3187524
